year,brand,superbowl_ads_dot_com_url,youtube_url,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,id,kind,etag,view_count,like_count,dislike_count,favorite_count,comment_count,published_at,title,description,thumbnail,channel_title,category_id,index,sentiment_type,sentiment_score
2018,Toyota,https://superbowl-ads.com/good-odds-toyota/,https://www.youtube.com/watch?v=zeBZvwYQ-hA,False,False,False,False,False,False,False,zeBZvwYQ-hA,youtube#video,rn-ggKNly38Cl0C3CNjNnUH9xUw,173929.0,1233.0,38.0,0.0,,2018-02-03T11:29:14Z,Toyota Super Bowl Commercial 2018 Good Odds,"Toyota Super Bowl Commercial 2018 Good Odds. You can watch Toyota Super Bowl 2018 commercial. Toyota has aired its Super Bowl commercial named as Good Odds. The odds of winning a Paralympic gold medal are almost 1 billion to 1. This film follows the journey of Lauren Woolstencroft, who beat the odds to win eight Paralympic gold medals.Toyot is one of the advertiser of Super Bowl 52.

Toyota Super Bowl commercial 2018

#toyota

https://www.youtube.com/channel/UChZGob5aWTeZreuP2hzIq7A",https://i.ytimg.com/vi/zeBZvwYQ-hA/sddefault.jpg,Funny Commercials,1.0,0,compound,0.9887
2020,Bud Light,https://superbowl-ads.com/2020-bud-light-seltzer-inside-posts-brain/,https://www.youtube.com/watch?v=nbbp0VW7z8w,True,True,False,True,True,False,False,nbbp0VW7z8w,youtube#video,1roDoK-SYqSpqYwKbYrMH0jEJQ4,47752.0,485.0,14.0,0.0,14.0,2020-01-31T21:04:13Z,Bud Light: Post Malone #PostyStore Inside Post's Brain,"Bud Light, Post Malone ""#PostyStore Inside Post's Brain""

Garrick Sheldon (Copywriting, 2014)
Wieden + Kennedy
New York, NY

The VCU Brandcenter is a two-year, full-time master's program focused on developing the best creative problem-solvers in the world of brands. The program saw a record number of alumni ads in the 2020 Super Bowl: 26 alums contributed to 18 different spots, representing global brands like McDonald's, Facebook, Bud Light, and more. Read more here: http://bit.ly/BCSuperBowlWatch

Learn more about the Brandcenter: http://www.brandcenter.vcu.edu 

Follow the Brandcenter on other social media platforms:
 • Facebook (http://www.facebook.com/VCUBrandcenter)
 • Twitter (http://www.twitter.com/VCU_Brandcenter)
 • Instagram (http://www.instagram.com/vcu_brandcenter/)
 • LinkedIn (http://www.linkedin.com/school/1095073/admin/)",https://i.ytimg.com/vi/nbbp0VW7z8w/sddefault.jpg,VCU Brandcenter,27.0,1,compound,0.9468
2006,Bud Light,https://superbowl-ads.com/2006-bud-light-bear-attack/,https://www.youtube.com/watch?v=yk0MQD5YgV8,True,False,False,False,True,True,False,yk0MQD5YgV8,youtube#video,OHiDfHTB3kilXfN8W0VTH0nwUIg,142310.0,129.0,15.0,0.0,9.0,2006-02-06T10:02:36Z,"Super Bowl 2006: Bud Light ""Save Yourself""",Bud Light Super Bowl commercial where two guys camping encounter a bear.,,John Keehler,17.0,2,compound,0.5994
2018,Hynudai,https://superbowl-ads.com/hope-detector-nfl-super-bowl-lii-hyundai/,https://www.youtube.com/watch?v=lNPccrGk77A,False,True,False,False,False,False,False,lNPccrGk77A,youtube#video,G9Dhby9Xe1UpnfcIrHmcnZYRCFI,198.0,2.0,0.0,0.0,0.0,2018-03-09T15:40:18Z,Hyundai / Hope Detector (2018),"TV or Web Commercial,  shot on location in MN with a non-union crew and contract, 2018. This commercial is uploaded under fair usage as an example of the Film & TV industry in MN.",,IATSE 490,22.0,3,compound,0.3182
2003,Bud Light,https://superbowl-ads.com/2003-bud-light-hermit-crab/,https://www.youtube.com/watch?v=ovQYgnXHooY,True,True,False,False,True,True,True,ovQYgnXHooY,youtube#video,acsuYsFFQ_gHCC060Wus0tTgLjM,13741.0,20.0,3.0,0.0,2.0,2006-07-18T04:53:42Z,bud light pick up,"see how a dude tries to pick up babes at a beach, but end up being pinched by a hermit crab! he tried to follow what another guy did.",,jassymei,24.0,4,compound,0.0
2020,Toyota,https://superbowl-ads.com/2020-toyota-go-places-with-cobie-smulders/,https://www.youtube.com/watch?v=f34Ji70u3nk,True,True,False,True,True,True,False,f34Ji70u3nk,youtube#video,_UAuS0SlCytmE2NGd6u5pfaYhnA,23636.0,115.0,11.0,0.0,13.0,2020-02-02T21:21:27Z,Toyota Super Bowl Commercial 2020 Cobie Smulders Heroes,"Toyota Super Bowl Commercial 2020 Cobie Smulders Heroes. You can watch Toyota Super Bowl commercial 2020 featuring Cobie Smulders and Thomas Barbusca. Toyota is one of the advertiser of Super Bowl 2020 and made a commercial for 2020 Toyota Highlander. It is a funny commercial will be featured during Big Game LIV.


Toyota Super Bowl Commercial 2020 



#toyota
#superbowl2020commercial


https://www.youtube.com/channel/UChZGob5aWTeZreuP2hzIq7A",https://i.ytimg.com/vi/f34Ji70u3nk/sddefault.jpg,Funny Commercials,1.0,5,compound,0.9712
2020,Coca-Cola,https://superbowl-ads.com/2020-coca-cola-energy-show-up/,https://www.youtube.com/watch?v=-gAZRN3SCBw,True,False,False,True,False,True,False,-gAZRN3SCBw,youtube#video,LRbAaDE85lzivsHVvIEbZei9IPk,304254.0,1470.0,384.0,0.0,227.0,2020-01-31T14:58:00Z,Coca-Cola Energy - Show Up ft. Jonah Hill & Martin Scorsese,"Apparently, no-one is safe from being flaked out on. Not even the great Martin Scorsese.",https://i.ytimg.com/vi/-gAZRN3SCBw/sddefault.jpg,Coca-Cola,24.0,6,compound,-0.1012
2020,Kia,https://superbowl-ads.com/2020-kia-tough-never-quits/,https://www.youtube.com/watch?v=lMs79UXam9A,False,False,False,True,False,False,False,lMs79UXam9A,youtube#video,2zkpvY1vDyWdXLXKZ2DojJmUTD4,17892.0,78.0,6.0,0.0,6.0,2020-01-31T04:37:27Z,"Kia Seltos Super Bowl 2020 TV Commercial, 'Tough Never Quits'","The 2020 Super Bowl is almost here, and automakers are continuing to release their commercials ahead of the big game. Kia is the latest with an ad for the 2021 Kia Seltos, the automaker’s newest crossover offering. The Super Bowl commercial stars rookie running back Josh Jacobs from the Oakland Raiders. And it’s much more serious than the others that’ll air during the game.

The commercial has Jacobs returning to the streets of his hometown – Tulsa, Oklahoma – where he offers his younger self some much-needed advice and inspiration to overcome some serious challenges. Jacobs faced homelessness as a child, managing to climb from the streets of Tulsa to the NFL. Jacobs tells his younger self, “Josh, It’s going to be hard growing up homeless. But you got to believe in yourself,” and “Be tougher than the world around you.”

The U.S. version of the Kia Seltos debuted late last year at the Los Angeles Auto Show. The model actually debuted earlier in the year in India. The U.S. Seltos debuted with a unique front fascia and the mandatory amber side markers. Powered comes from one of two gasoline engines – a naturally aspirated 2.0-liter or a turbocharged 1.6-liter. The larger mill makes 146 horsepower (109 kilowatts) while the smaller engine produces 175 hp (130 kW).

The 2.0-liter pairs with an Intelligent Variable Transmission while the smaller engine gets the seven-speed dual-clutch automatic. All-wheel drive with a center locking differential is an available option.

The 2021 Kia Seltos is rumored to go on sale early next month in the U.S. with a starting price of just under $22,000, which is what Kia said the Seltos would start at. Europeans hoping for another new crossover to possibly purchase are out of luck. The new crossover won’t hit Kia dealerships in Europe.",https://i.ytimg.com/vi/lMs79UXam9A/sddefault.jpg,TIMECAR,2.0,7,compound,-0.908
2020,Hynudai,https://superbowl-ads.com/2020-hyundai-smaht-pahk/,https://www.youtube.com/watch?v=WBvkmWDjsYc,True,True,False,True,False,True,False,WBvkmWDjsYc,youtube#video,xs3x7jAifrHDAEAxxGnbKaySd3s,38385.0,342.0,7.0,0.0,30.0,2021-01-27T13:11:29Z,Hyundai: Super Bowl Commercial - Smaht Pahk,Reclame voor Hyundai,https://i.ytimg.com/vi/WBvkmWDjsYc/sddefault.jpg,ReclameArchief,24.0,8,compound,0.0
2020,Budweiser,https://superbowl-ads.com/2020-budweiser-typical-american/,https://www.youtube.com/watch?v=J0xugdotpp8,False,True,True,True,True,False,False,J0xugdotpp8,youtube#video,LtNOKI6-s1R9-Badkl-oQpiKTuU,782.0,7.0,0.0,0.0,0.0,2020-01-24T14:04:00Z,Budweiser - Typical American,"Anunciante: Budweiser
Agencia: DAVID Miami
Dirección: Kathryn Bigelow",https://i.ytimg.com/vi/J0xugdotpp8/sddefault.jpg,DossierNet,24.0,9,compound,0.0
